URN,RELDENOM,EGENDER,KS2APS,TTAPSCP_PTQ_EE
140748,Does not apply,MIXED,28.2,326.7
102453,None,GIRLS,NP,190.4
134797,Does not apply,MIXED,26.2,281.6
136631,None,GIRLS,28,336.6
136768,None,MIXED,26.3,284.3
137635,None,MIXED,29.1,374.2
102461,Does not apply,MIXED,18.1,44.1
131940,None,MIXED,NP,42.7
102462,Does not apply,MIXED,10.7,NE
138158,Does not apply,MIXED,3,NE
141606,None,MIXED,,
102464,Roman Catholic,MIXED,NP,SUPP
141382,Does not apply,MIXED,,
,,,27.3,319
102551,None,MIXED,NP,353.4
139095,Does not apply,GIRLS,27.6,349.5
137907,None,MIXED,28.5,316.6
136522,None,MIXED,26.8,325.5
137618,None,MIXED,26.4,302.6
139989,Church of England,GIRLS,29,358.3
137928,Roman Catholic,GIRLS,29,367.5
102545,Roman Catholic,BOYS,29.4,375.8
102539,Does not apply,MIXED,28.4,363.9
138924,None,MIXED,27.2,350.9
137940,None,BOYS,27.8,328
139276,Does not apply,MIXED,25.5,294.7
136341,None,MIXED,27.5,348.5
139720,Sikh,MIXED,,
135090,None,MIXED,NP,330
138266,None,MIXED,,
137009,Does not apply,MIXED,26.5,297.8
137995,Roman Catholic,MIXED,29.1,373.1
142126,None,MIXED,,
102554,Does not apply,MIXED,12.5,3
102555,Does not apply,MIXED,SUPP,NE
,,,27.7,337.2
102620,None,MIXED,NP,259.3
102599,Does not apply,MIXED,26.2,297.1
137859,None,BOYS,27.5,314.4
137848,Does not apply,GIRLS,28.8,376.7
137678,None,MIXED,28.9,354.1
138459,Roman Catholic,GIRLS,29.3,372.8
141862,None,MIXED,,
102619,None,MIXED,NP,231.3
137299,Roman Catholic,BOYS,28.3,355.3
137917,Does not apply,BOYS,27.1,320.9
102611,Christian,MIXED,NP,394.8
136615,None,GIRLS,33.2,450.9
136910,None,BOYS,33.1,443.6
137060,None,GIRLS,27.8,348.8
102621,Does not apply,MIXED,SUPP,SUPP
102623,Does not apply,MIXED,SUPP,NE
102622,Does not apply,MIXED,14.5,12.4
,,,28.8,358.2
131897,Does not apply,MIXED,26.3,310.3
138495,None,MIXED,25.3,305.5
102684,Church of England,MIXED,NP,260.3
102674,Does not apply,MIXED,26.7,314.3
102673,Does not apply,GIRLS,27.4,332.1
136678,None,MIXED,NP,59.3
102679,None,BOYS,27.7,354.7
134003,Church of England,MIXED,25.1,271.5
102683,Roman Catholic,GIRLS,28.6,382.6
102681,Roman Catholic,BOYS,28.1,334.9
102692,None,GIRLS,NP,237.2
102694,None,MIXED,NP,82.3
102699,Does not apply,MIXED,9.2,NE
140421,None,MIXED,NP,SUPP
102697,Does not apply,MIXED,20.6,80.1
102698,Does not apply,MIXED,SUPP,SUPP
,,,26.8,322.2
134417,None,MIXED,NP,378.8
136669,Does not apply,MIXED,27.6,360.6
139703,Does not apply,MIXED,,
102783,Does not apply,MIXED,26.7,275.6
139834,None,MIXED,,
